,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,id
101,argentine indie,0.6887095238095238,0.4822738095238095,268671.83928571426,0.2508392857142857,0.0129303335714285,0.1670309523809524,-14.744309523809523,0.0395648809523809,109.0198988095238,0.3049821428571428,51.35714285714286,7,1,101
102,argentine metal,0.0185,0.62,293360.0,0.816,0.0074099999999999,0.0984,-6.2079999999999975,0.222,179.99200000000005,0.6679999999999999,49.0,1,1,102
103,argentine punk,0.008,0.641,234610.25,0.58175,0.007193325,0.2872999999999999,-11.029,0.042525,126.53275,0.543,51.75,6,1,103
104,argentine reggae,0.0980911111111111,0.7633259259259259,249349.91851851853,0.5502148148148147,0.0002703991851851,0.1023629629629629,-7.716940740740742,0.071637037037037,123.0614,0.7932518518518519,59.17777777777778,6,1,104
105,argentine rock,0.2287392659786324,0.5923440178571429,260936.60709020143,0.6141759697802199,0.0401637461811202,0.1918368483669108,-9.488574660409034,0.0473195006868131,116.59620186965812,0.5996862402319905,54.5244391025641,7,1,105
106,arkansas country,0.5068861599194512,0.5829433219471036,186879.9289074427,0.502752759315934,0.0090802510512224,0.2070310515498679,-9.651622021187595,0.0545461661637603,117.35864325648828,0.6191840936013178,39.43257088263933,9,1,106
107,arkansas indie,0.2365,0.43,265170.5,0.504,0.107665,0.171,-10.1935,0.03125,100.529,0.1685,49.5,3,1,107
108,armenian folk,0.9946666666666668,0.1353333333333333,288000.0,0.1342333333333333,0.8969999999999999,0.1169999999999999,-19.125333333333327,0.0465333333333333,86.13999999999999,0.0481666666666666,37.0,7,1,108
109,art pop,0.3283837204971099,0.5467721938479064,254008.33777628912,0.5651440570512002,0.2048771063708081,0.1681923066088323,-9.51136575842621,0.0608330572661932,121.07146043896724,0.4334530749849637,48.77883480276268,0,1,109
110,art punk,0.1674050143842953,0.5557995337137628,220461.23253639872,0.7122961011182961,0.197676654208922,0.2033441106605648,-9.356333108245156,0.0737201359189511,128.45853438953404,0.6268830314416612,34.39663405118004,9,1,110
111,art rock,0.3045500910830566,0.4936683379149177,280929.12390233047,0.5675819262760526,0.2021688013013586,0.1954348365087644,-11.43162160648357,0.055979324585895,120.2264635039528,0.5076428698001563,36.2904372690253,9,1,111
112,asbury park indie,0.000969,0.557,226853.0,0.815,0.00188,0.0932,-5.402,0.0328,88.929,0.445,50.0,0,1,112
113,asian american hip hop,0.1462030952380952,0.7542,186140.19523809524,0.6651238095238096,0.0005756702380952,0.1854323809523809,-6.820133333333334,0.1139604761904761,107.89669523809523,0.4918095238095237,61.32380952380952,7,1,113
114,asmr,0.4809677777777777,0.1852222222222222,203037.3333333333,0.3083333333333333,0.9171111111111112,0.2194444444444444,-19.465666666666667,0.0643111111111111,80.81955555555554,0.0270111111111111,64.8888888888889,10,0,114
115,athens indie,0.1822064756984127,0.524506507936508,248960.3354761905,0.6109726746031746,0.2723282102301587,0.1698941666666666,-9.70121488095238,0.0373162817460317,121.28121043650792,0.5432255158730158,43.71599206349206,5,1,115
116,atl hip hop,0.1240618594749041,0.7339626050585145,241796.9657343801,0.6559216525397232,0.0135144152842908,0.2010581617032968,-6.580438240575398,0.1823710073091917,123.40938307581916,0.5279019214864498,52.053810253716,1,1,116
117,atl trap,0.1406476475422692,0.7215242445674609,224752.2750600309,0.6655055315223758,0.0050203604644271,0.2004972608521771,-6.379520756115041,0.1852260622873427,124.05151130406324,0.5264518913592086,57.354076380981866,0,1,117
118,atlanta indie,0.150585,0.58175,239054.3,0.7179499999999999,0.1234133,0.2745499999999999,-7.73465,0.0561,113.88285,0.56885,52.55,4,1,118
119,atmosphere,0.8170244897959184,0.2935748299319727,208973.12925170068,0.1604867346938775,0.8358890476190478,0.1273268707482993,-22.4149149659864,0.0533414965986394,95.5545306122449,0.1462091836734693,53.90816326530612,9,1,119
120,atmospheric black metal,0.001325495,0.2638333333333333,356480.0,0.7681666666666667,0.7681833333333333,0.3260333333333333,-9.345,0.0573666666666666,111.02750000000005,0.2410166666666667,42.833333333333336,4,1,120
121,atmospheric dnb,0.03,0.6829999999999999,267107.0,0.789,0.0105,0.0724,-9.034,0.0602,119.504,0.657,46.0,2,1,121
